"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.93000000000E+009, -2.26216584547E-001, +0.00000000000E+000
+7.98500000000E+009, -3.13814116126E-001, +0.00000000000E+000
+8.04000000000E+009, -4.23819597779E-001, +0.00000000000E+000
+8.09500000000E+009, -2.62914674290E-001, +0.00000000000E+000
+8.15000000000E+009, -3.32864446782E-001, +0.00000000000E+000
+8.20500000000E+009, -2.82410503697E-001, +0.00000000000E+000
+8.26000000000E+009, -2.05029556040E-001, +0.00000000000E+000
+8.31500000000E+009, -3.99572401139E-001, +0.00000000000E+000
+8.37000000000E+009, -2.94338365110E-001, +0.00000000000E+000
+8.42500000000E+009, -1.95951044892E-001, +0.00000000000E+000
+8.48000000000E+009, -3.84452663057E-001, +0.00000000000E+000
+8.53500000000E+009, -1.19547600619E-001, +0.00000000000E+000
+8.59000000000E+009, -4.93338560046E-001, +0.00000000000E+000
+8.64500000000E+009, -2.04926586317E-001, +0.00000000000E+000
+8.70000000000E+009, -2.37578126936E-001, +0.00000000000E+000
+8.75500000000E+009, -2.68368151768E-001, +0.00000000000E+000
+8.81000000000E+009, -2.15113255852E-001, +0.00000000000E+000
+8.86500000000E+009, -3.70435086235E-001, +0.00000000000E+000
+8.92000000000E+009, -2.22403437196E-001, +0.00000000000E+000
+8.97500000000E+009, -2.24591870911E-001, +0.00000000000E+000
+9.03000000000E+009, -2.68097324311E-001, +0.00000000000E+000
+9.08500000000E+009, -2.72105286043E-001, +0.00000000000E+000
+9.14000000000E+009, -4.13452480893E-001, +0.00000000000E+000
+9.19500000000E+009, -1.90817122748E-001, +0.00000000000E+000
+9.25000000000E+009, -3.18180328356E-001, +0.00000000000E+000
+9.30500000000E+009, -3.54106934590E-001, +0.00000000000E+000
+9.36000000000E+009, -2.47235526810E-001, +0.00000000000E+000
+9.41500000000E+009, -4.62884235443E-001, +0.00000000000E+000
+9.47000000000E+009, -2.51164010916E-001, +0.00000000000E+000
+9.52500000000E+009, -2.95038643055E-001, +0.00000000000E+000
+9.58000000000E+009, -4.27303730401E-001, +0.00000000000E+000
+9.63500000000E+009, -2.64230400537E-001, +0.00000000000E+000
+9.69000000000E+009, -4.61180873622E-001, +0.00000000000E+000
+9.74500000000E+009, -2.69527288549E-001, +0.00000000000E+000
+9.80000000000E+009, -2.82194786621E-001, +0.00000000000E+000
+9.85500000000E+009, -4.30167343878E-001, +0.00000000000E+000
+9.91000000000E+009, -3.27143304289E-001, +0.00000000000E+000
+9.96500000000E+009, -3.74624416302E-001, +0.00000000000E+000
+1.00200000000E+010, -3.41268558101E-001, +0.00000000000E+000
+1.00750000000E+010, -2.78296677655E-001, +0.00000000000E+000
+1.01300000000E+010, -4.12116866757E-001, +0.00000000000E+000
+1.01850000000E+010, -3.39586834417E-001, +0.00000000000E+000
+1.02400000000E+010, -3.15397332581E-001, +0.00000000000E+000
+1.02950000000E+010, -2.75345894685E-001, +0.00000000000E+000
+1.03500000000E+010, -2.89221866599E-001, +0.00000000000E+000
+1.04050000000E+010, -4.62799603936E-001, +0.00000000000E+000
+1.04600000000E+010, -1.88245699010E-001, +0.00000000000E+000
+1.05150000000E+010, -4.75808332634E-001, +0.00000000000E+000
+1.05700000000E+010, -1.46823735984E-001, +0.00000000000E+000
+1.06250000000E+010, -3.03636255611E-001, +0.00000000000E+000
+1.06800000000E+010, -4.02647968437E-001, +0.00000000000E+000
+1.07350000000E+010, -2.05118484951E-001, +0.00000000000E+000
+1.07900000000E+010, -3.17292618051E-001, +0.00000000000E+000
+1.08450000000E+010, -2.74947038768E-001, +0.00000000000E+000
+1.09000000000E+010, -2.17877574555E-001, +0.00000000000E+000
+1.09550000000E+010, -4.18945905346E-001, +0.00000000000E+000
+1.10100000000E+010, -2.30313102188E-001, +0.00000000000E+000
+1.10650000000E+010, -2.38845796203E-001, +0.00000000000E+000
+1.11200000000E+010, -3.68341978170E-001, +0.00000000000E+000
+1.11750000000E+010, -2.08975220433E-001, +0.00000000000E+000
+1.12300000000E+010, -4.35846831452E-001, +0.00000000000E+000
+1.12850000000E+010, -2.23118730098E-001, +0.00000000000E+000
+1.13400000000E+010, -2.67650037087E-001, +0.00000000000E+000
+1.13950000000E+010, -3.20766061229E-001, +0.00000000000E+000
+1.14500000000E+010, -2.92788837524E-001, +0.00000000000E+000
+1.15050000000E+010, -3.36262138603E-001, +0.00000000000E+000
+1.15600000000E+010, -1.75021393798E-001, +0.00000000000E+000
+1.16150000000E+010, -3.12642971227E-001, +0.00000000000E+000
+1.16700000000E+010, -2.55236209270E-001, +0.00000000000E+000
+1.17250000000E+010, -3.19640310760E-001, +0.00000000000E+000
+1.17800000000E+010, -3.62980976749E-001, +0.00000000000E+000
+1.18350000000E+010, -1.17658691892E-001, +0.00000000000E+000
+1.18900000000E+010, -3.49285623049E-001, +0.00000000000E+000
+1.19450000000E+010, -3.10565801717E-001, +0.00000000000E+000
+1.20000000000E+010, -2.74165438417E-001, +0.00000000000E+000
